acct_id,agent_id,div_code,division,curr_meter_read_remark,prev_meter_read_remark,prev_bill_basis
5761375000,FGLTD01594,DIV475812,IDF,IDF,ASS,
5762376000,FGLTD02929,DIV475814,IDF,IDF,ASS,
5762547000,FGLTD02657,DIV435731,RDF ,RDF,ASS,
5762726915,FGLTD01612,DIV475811,IDF ,IDF,ASS,
5762947000,PUFGL01124,DIV475614,RDF ,OK,MU,
5763997000,PUFGL01123,DIV475614,RDF,RDF,ASS,
5764077000,FGLTD01191,DIV475813,RDF,RDF,ASS,
5764118000,FGLTD01661,DIV475814,RDF ,RDF,ASS,
5765627000,PUFGL00844,DIV475814,IDF ,IDF,ASS,
5766147000,FGLTD02943,DIV475812,RDF ,P,PROV,
5766218000,FGLTD01968,DIV475812,RDF ,IDF,ASS,
5767008000,PUFGL00616,DIV475935,RDF ,OK,MU,
5768457000,FGLTD03289,DIV475814,IDF ,IDF,ASS,
5768759001,PUFGL00790,DIV475812,RDF ,OK,MU,
5769607000,PUFGL00884,DIV475611,RDF ,RDF,ASS,
5770486000,PUFGL00922,DIV475612,IDF,IDF,ASS,
5771006000,PUFGL00162,DIV435731,RDF ,P,PROV,
5771887000,FGLTD03023,DIV475812,IDF ,IDF,ASS,
5773038624,FGLTD01661,DIV475814,IDF ,IDF,ASS,
5774056000,FGLTD02256,DIV435733,RDF ,BR,MU,
5774075000,FGLTD02823,DIV475614,RDF ,RDF,ASS,
5774731037,PUFGL00185,DIV435731,RDF ,RDF,ASS,
5775946000,PUFGL00555,DIV475934,RDF ,P,PROV,
5776817000,FGLTD01180,DIV475813,IDF ,IDF,ASS,
5777780669,FGLTD02662,DIV475813,RDF ,OK,MU,
5778037000,PUFGL00844,DIV475814,IDF ,IDF,ASS,
5778176000,PUFGL00661,DIV475811,RDF ,BR,MU,
5778896000,PUFGL00751,DIV475812,RDF ,OK,MU,
5779136000,FGLTD02189,DIV475934,RDF ,RDF,ASS,
5780318000,FGLTD01355,DIV435733,RDF ,P,PROV,
5781896000,PUFGL00683,DIV475811,IDF,IDF,ASS,
5782437920,FGLTD02929,DIV475814,IDF ,IDF,ASS,
5782567000,FGLTD02147,DIV475614,RDF ,OK,MU,
5782770348,FGLTD02197,DIV435731,RDF ,RDF,ASS,
5782785000,PUFGL00596,DIV475934,RDF ,BR,MU,
5783353501,FGLTD02744,DIV435732,RDF ,OK,MU,
5783986000,PUFGL00623,DIV475935,RDF,RDF,ASS,
5784716000,PUFGL00764,DIV475812,IDF ,IDF,ASS,
5785387000,PUFGL01138,DIV475614,RDF ,OK,MU,
5785821745,FGLTD01660,DIV475814,IDF ,IDF,ASS,
5786476000,PUFGL00250,DIV435733,RDF ,BR,MU,
5787786012,PUFGL00712,DIV475811,RDF ,RDF,ASS,
5790057000,PUFGL00764,DIV475812,IDF ,IDF,ASS,
5790446000,FGLTD02083,DIV475812,RDF ,P,PROV,
5790587000,FGLTD03393,DIV475814,IDF ,IDF,ASS,
5790730623,FGLTD02471,DIV475814,IDF ,IDF,ASS,
5791096000,FGLTD02929,DIV475814,IDF ,IDF,ASS,
5791967777,PUFGL00168,DIV435731,RDF ,OK,MU,
5791986000,FGLTD02667,DIV475813,RDF ,RDF,ASS,
5792146000,FGLTD03289,DIV475814,IDF,IDF,ASS,
5792647000,PUFGL00246,DIV435733,RDF,P,PROV,
5792737000,PUFGL00412,DIV435722,RDF ,P,PROV,
5792876000,PUFGL01116,DIV475614,RDF ,P,PROV,
5793387000,FGLTD01191,DIV475813,RDF ,RDF,ASS,
5795127000,FGLTD02979,DIV435733,RDF ,OK,MU,
5796656000,FGLTD03116,DIV475814,IDF ,IDF,ASS,
5797397000,PUFGL00683,DIV475811,IDF ,IDF,ASS,
5798296000,PUFGL00607,DIV475934,IDF ,IDF,ASS,
5798354000,PUFGL00715,DIV475811,IDF,IDF,ASS,
5799149349,FGLTD03251,DIV475612,IDF ,OK,MU,
5799217000,PUFGL00584,DIV475934,RDF ,RDF,ASS,
5799227000,PUFGL00792,DIV475812,IDF ,IDF,ASS,
5799518000,PUFGL01100,DIV475614,RDF ,P,PROV,
5800477000,FGLTD01809,DIV475934,RDF,RDF,ASS,
5801107000,PUFGL00548,DIV475934,RDF ,RDF,ASS,
5802426000,FGLTD02667,DIV475813,IDF ,IDF,ASS,
5802976000,PUFGL01189,DIV475935,RDF ,OK,MU,
5803727000,FGLTD03024,DIV435731,RDF,OK,MU,
5803880638,PUFGL00802,DIV475813,RDF ,RDF,ASS,
5806257000,FGLTD03125,DIV475813,RDF ,RDF,ASS,
5807296000,PUFGL00261,DIV435733,RDF ,RDF,ASS,
5807396000,PUFGL00922,DIV475612,IDF ,IDF,ASS,
