div_code,agent_id,latitude,longitude,total_bills
DIV435711,FGLTD01815,26.7512068,83.3690524,11
DIV435711,FGLTD02006,26.7187605,83.3697354,18
DIV435711,FGLTD02006,26.7123663,83.3702293,16
DIV435711,FGLTD02006,26.7152075,83.3943763,16
DIV435711,FGLTD02006,26.7160004,83.3735512,15
DIV435711,FGLTD02006,26.7113504,83.3715646,12
DIV435711,FGLTD02006,26.7185665,83.3744016,11
DIV435711,FGLTD02006,26.7241026,83.3697539,11
DIV435711,FGLTD02006,26.7387324,83.377109,10
DIV435711,FGLTD02324,26.7284789,83.3355061,12
DIV435711,FGLTD02324,26.7488667,83.352543,11
DIV435712,FGLTD01834,26.7717379,83.3543852,19
DIV435712,FGLTD01834,26.7708523,83.3656293,14
DIV435712,FGLTD01840,26.7644307,83.3460005,13
DIV435713,FGLTD02776,26.7314306,83.4283558,26
DIV435714,FGLTD01870,26.8098017,83.3965786,13
DIV435721,FGLTD02533,26.2997699,83.4462875,23
DIV435721,FGLTD03258,26.486635,83.3845134,14
DIV435721,PUFGL00319,26.557976,83.3478638,31
DIV435721,PUFGL00319,26.557565,83.3479567,15
DIV435721,PUFGL00319,26.5579617,83.3478705,13
DIV435721,PUFGL00319,26.5577621,83.3478558,13
DIV435721,PUFGL00319,26.5578199,83.3473112,12
DIV435721,PUFGL00319,26.5566233,83.3456764,11
DIV435721,PUFGL00319,26.55793,83.3479061,11
DIV435721,PUFGL00319,26.5579683,83.3476867,11
DIV435721,PUFGL00319,26.5578457,83.3476714,10
DIV435721,PUFGL00319,26.5576379,83.3478744,10
DIV435721,PUFGL00319,26.5579064,83.3481984,10
DIV435721,PUFGL00319,26.5575888,83.3479972,10
DIV435721,PUFGL00327,26.30126,83.41726,14
DIV435721,PUFGL00332,26.5464731,83.2813902,22
DIV435721,PUFGL00332,26.5429265,83.2881138,19
DIV435721,PUFGL00332,26.5443559,83.2900421,15
DIV435721,PUFGL00332,26.5451904,83.2899037,13
DIV435721,PUFGL00339,26.3417822,83.4954587,27
DIV435721,PUFGL00343,26.4882407,83.206088,14
DIV435721,PUFGL00353,26.5153442,83.4138333,17
DIV435721,PUFGL00355,26.3594727,83.4319251,13
DIV435721,PUFGL00355,26.3594727,83.4319254,10
DIV435722,FGLTD02017,26.5905312,83.4060661,19
DIV435722,FGLTD02017,26.5900367,83.4055267,12
DIV435722,FGLTD02371,26.638921,83.2394853,23
DIV435722,FGLTD02371,26.6448981,83.2520255,10
DIV435722,FGLTD02869,26.8598821,83.176173,41
DIV435722,FGLTD02869,26.859325,83.176255,27
DIV435722,FGLTD02869,26.8595267,83.1763067,19
DIV435722,FGLTD02869,26.8596324,83.1763589,13
DIV435722,FGLTD02869,26.85948,83.17624,12
DIV435722,FGLTD02869,26.859525,83.1763533,10
DIV435722,FGLTD02869,26.8588227,83.1764187,10
DIV435722,FGLTD03080,26.7541,83.1832783,33
DIV435722,FGLTD03080,26.754825,83.1847133,22
DIV435722,FGLTD03080,26.7551633,83.1840817,10
DIV435722,FGLTD03093,26.6066944,83.3966858,57
DIV435722,FGLTD03093,26.6029232,83.3973914,57
DIV435722,FGLTD03093,26.6067042,83.3966594,51
DIV435722,FGLTD03093,26.6067239,83.3968212,38
DIV435722,FGLTD03093,26.6034625,83.3972156,28
DIV435722,FGLTD03093,26.6065109,83.3968761,20
DIV435722,FGLTD03093,26.6031058,83.3972152,19
DIV435722,FGLTD03093,26.6031171,83.3972975,18
DIV435722,FGLTD03093,26.6030195,83.397236,15
DIV435722,FGLTD03093,26.603116,83.3974013,14
DIV435722,FGLTD03093,26.6030856,83.3971965,12
DIV435722,FGLTD03093,26.6030088,83.3974151,12
DIV435722,FGLTD03093,26.6026381,83.3975193,11
DIV435722,PUFGL00364,26.782362,83.1274973,46
DIV435722,PUFGL00364,26.7792704,83.1313206,42
DIV435722,PUFGL00364,26.7796246,83.1311604,41
DIV435722,PUFGL00364,26.7794851,83.130921,34
DIV435722,PUFGL00364,26.7796869,83.1306948,32
DIV435722,PUFGL00364,26.7794501,83.1309854,13
DIV435722,PUFGL00364,26.7795967,83.1307283,12
DIV435722,PUFGL00364,26.7794415,83.130698,12
DIV435722,PUFGL00364,26.779514,83.1310247,12
DIV435722,PUFGL00364,26.7946171,83.1173868,11
DIV435722,PUFGL00366,26.8545532,83.1814291,34
DIV435722,PUFGL00366,26.8545993,83.1816399,31
DIV435722,PUFGL00366,26.8560164,83.1951902,24
DIV435722,PUFGL00366,26.7899635,83.2098408,17
DIV435722,PUFGL00366,26.8546426,83.1816104,15
DIV435722,PUFGL00366,26.8546641,83.1820386,15
DIV435722,PUFGL00366,26.8545366,83.1828654,13
DIV435722,PUFGL00366,26.8545259,83.1816399,12
DIV435722,PUFGL00366,26.8707852,83.2259127,12
DIV435722,PUFGL00367,26.8546949,83.1823778,30
DIV435722,PUFGL00367,26.8541039,83.1945404,29
DIV435722,PUFGL00367,26.8544929,83.1818725,29
DIV435722,PUFGL00367,26.854031,83.194171,18
DIV435722,PUFGL00367,26.8559153,83.1813372,17
DIV435722,PUFGL00367,26.8544908,83.1818716,17
DIV435722,PUFGL00367,26.8556931,83.1811232,13
DIV435722,PUFGL00367,26.8555272,83.1812878,12
DIV435722,PUFGL00367,26.8556631,83.1811439,11
DIV435722,PUFGL00370,26.727823,83.2026854,12
DIV435722,PUFGL00377,26.70467,83.1441083,11
DIV435722,PUFGL00394,26.7182511,83.2711999,24
DIV435722,PUFGL00394,26.7182092,83.2711806,20
DIV435722,PUFGL00394,26.71815,83.2712349,11
DIV435722,PUFGL00394,26.7355301,83.2845528,10
DIV435722,PUFGL00412,26.6270127,83.1353725,14
DIV435722,PUFGL00412,26.7491482,83.3672184,12
DIV435722,PUFGL00412,26.632225,83.2302617,11
DIV435722,PUFGL00419,26.7491082,83.367063,11
DIV435722,PUFGL00419,26.7491524,83.3671903,10
DIV435722,PUFGL00437,26.6065109,83.3968761,11
DIV435722,PUFGL00437,26.6028032,83.3974311,10
DIV435723,FGLTD01386,26.350975,83.3540845,113
DIV435723,FGLTD01987,26.3477033,83.3493367,30
DIV435723,FGLTD01987,26.3434479,83.3554084,19
DIV435723,FGLTD01987,26.3435117,83.3540933,17
DIV435723,FGLTD01987,26.3434684,83.3542495,17
DIV435723,FGLTD01987,26.3434618,83.3542748,16
DIV435723,FGLTD01987,26.3434239,83.3542276,13
DIV435723,FGLTD01987,26.3434678,83.3542496,13
DIV435723,FGLTD01987,26.347735,83.349455,13
DIV435723,FGLTD01987,26.36805,83.3256267,13
DIV435723,FGLTD01987,26.3436047,83.3537848,12
DIV435723,FGLTD01987,26.3433967,83.3541733,12
DIV435723,FGLTD01987,26.3434359,83.354112,12
DIV435723,FGLTD01987,26.3435981,83.3538954,10
DIV435723,FGLTD01987,26.3434889,83.3540219,10
DIV435723,FGLTD02163,26.5028834,83.2014158,207
DIV435723,FGLTD02163,26.505529,83.1983562,124
DIV435723,FGLTD02163,26.5507914,83.1804504,94
DIV435723,FGLTD02163,26.5024453,83.2018968,79
DIV435723,FGLTD02163,26.5030879,83.2014322,63
DIV435723,FGLTD02163,26.5508352,83.1799715,60
DIV435723,FGLTD02163,26.506742,83.2003602,59
DIV435723,FGLTD02163,26.5507088,83.1799273,49
DIV435723,FGLTD02163,26.5507841,83.1799447,47
DIV435723,FGLTD02163,26.5507337,83.1799702,31
DIV435723,FGLTD02163,26.550699,83.1799432,27
DIV435723,FGLTD02163,26.5024439,83.2017351,23
DIV435723,FGLTD02163,26.5507476,83.1799793,17
DIV435723,FGLTD02163,26.5024462,83.2017508,16
DIV435723,FGLTD02163,26.5510059,83.1800569,16
DIV435723,FGLTD02163,26.5507511,83.1799205,10
DIV435723,FGLTD02886,26.4202036,83.3236265,23
DIV435723,FGLTD02886,26.420212,83.3236586,12
DIV435723,FGLTD02886,26.420222,83.3236514,12
DIV435723,FGLTD02886,26.4202122,83.3236558,10
DIV435723,FGLTD02941,26.3731399,83.3101324,52
DIV435723,FGLTD02941,26.3715806,83.3111891,31
DIV435723,FGLTD02941,26.3720882,83.3111482,17
DIV435723,FGLTD02941,26.3723305,83.3110679,16
DIV435723,PUFGL00273,26.41456,83.2002817,35
DIV435723,PUFGL00273,26.4144418,83.2002646,34
DIV435723,PUFGL00273,26.4150282,83.2003185,31
DIV435723,PUFGL00273,26.4145514,83.2000876,29
DIV435723,PUFGL00273,26.4143892,83.2007987,22
DIV435723,PUFGL00273,26.411205,83.2002319,17
DIV435723,PUFGL00273,26.414475,83.20035,14
DIV435723,PUFGL00273,26.4109917,83.2003109,13
DIV435723,PUFGL00273,26.414395,83.2003133,13
DIV435723,PUFGL00273,26.4109918,83.2003108,12
DIV435723,PUFGL00273,26.414353,83.2002463,11
DIV435723,PUFGL00273,26.4144934,83.2003319,11
DIV435723,PUFGL00273,26.4144349,83.19959,10
DIV435723,PUFGL00274,26.4510017,83.2612883,41
DIV435723,PUFGL00274,26.4495133,83.2615383,27
DIV435723,PUFGL00274,26.44939,83.2615767,26
DIV435723,PUFGL00274,26.44895,83.2615867,23
DIV435723,PUFGL00274,26.4493301,83.262092,19
DIV435723,PUFGL00274,26.4494428,83.2612234,18
DIV435723,PUFGL00274,26.4643067,83.2692433,17
DIV435723,PUFGL00274,26.4488167,83.2619283,17
DIV435723,PUFGL00274,26.464335,83.2693067,15
DIV435723,PUFGL00274,26.44937,83.2616933,15
DIV435723,PUFGL00274,26.4493517,83.2617783,12
DIV435723,PUFGL00274,26.4497567,83.2616017,12
DIV435723,PUFGL00274,26.4409067,83.2157083,12
DIV435723,PUFGL00274,26.4493717,83.2613733,11
DIV435723,PUFGL00274,26.4493983,83.2617683,11
DIV435723,PUFGL00278,26.4132721,83.158113,19
DIV435723,PUFGL00280,26.4364112,83.1575268,12
DIV435723,PUFGL00280,26.4364113,83.157527,12
